,ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,x,y,z,ParcelID_sorted
219,220,R,658.6387,48.9 -53 28.6,Default,48.9,-53.0,28.6,198
161,162,R,1286.0436,12.3 -51.6 34.5,Default,12.3,-51.6,34.5,199
224,225,R,259.4568,62.5 -25.6 -5.5,Default,62.5,-25.6,-5.5,200
185,186,R,85.9457,3 -19.6 37.9,Default,3.0,-19.6,37.9,201
289,290,R,711.4259,57.5 -7.4 -16.4,Default,57.5,-7.4,-16.4,202
330,331,R,101.3923,54.4 1.1 -12.9,Default,54.4,1.1,-12.9,203
325,326,R,83.9548,30.6 18.9 48.7,Default,30.6,18.9,48.7,204
199,200,R,368.354,21.9 21 46.2,Default,21.9,21.0,46.2,205
164,165,R,445.2963,11.9 21.9 59.9,Default,11.9,21.9,59.9,206
314,315,R,200.1364,21 32.8 42.1,Default,21.0,32.8,42.1,207
315,316,R,111.1649,21.4 42.8 35.1,Default,21.4,42.8,35.1,208
183,184,R,375.3193,7.7 44.1 5.5,Default,7.7,44.1,5.5,209
324,325,R,251.6252,6.8 44.5 34.8,Default,6.8,44.5,34.8,210
323,324,R,201.5247,13.8 46.7 42.1,Default,13.8,46.7,42.1,211
278,279,R,422.7278,7.2 48.4 -10.1,Default,7.2,48.4,-10.1,212
321,322,R,494.1675,8.2 53.8 14,Default,8.2,53.8,14.0,213
322,323,R,118.0971,5.9 54.9 29.4,Default,5.9,54.9,29.4,214
320,321,R,285.4723,16 61 19.8,Default,16.0,61.0,19.8,215
277,278,R,279.6353,4.8 65.1 -7.1,Default,4.8,65.1,-7.1,216
251,252,R,362.1161,23 -66.4 51.8,DorsalAttn,23.0,-66.4,51.8,217
252,253,R,265.5131,32.3 -63.6 33.8,DorsalAttn,32.3,-63.6,33.8,218
188,189,R,381.2393,10.3 -57.3 58.3,DorsalAttn,10.3,-57.3,58.3,219
265,266,R,79.8507,57 -53.8 -1.1,DorsalAttn,57.0,-53.8,-1.1,220
261,262,R,156.9758,33.5 -48.2 49.4,DorsalAttn,33.5,-48.2,49.4,221
210,211,R,139.5682,38.8 -42.6 40.4,DorsalAttn,38.8,-42.6,40.4,222
202,203,R,252.1197,29.9 -7.8 47.4,DorsalAttn,29.9,-7.8,47.4,223
198,199,R,125.3723,29.2 1.9 52.4,DorsalAttn,29.2,1.9,52.4,224
270,271,R,232.1352,47.3 2 37.6,DorsalAttn,47.3,2.0,37.6,225
207,208,R,162.1634,22.6 5.6 57.6,DorsalAttn,22.6,5.6,57.6,226
274,275,R,846.8954,46.6 7.8 19.3,DorsalAttn,46.6,7.8,19.3,227
235,236,R,243.2837,36.8 37.8 13.1,DorsalAttn,36.8,37.8,13.1,228
249,250,R,93.8732,48.1 38.4 2.4,DorsalAttn,48.1,38.4,2.4,229
260,261,R,39.9006,35.7 -56.7 45.2,FrontoParietal,35.7,-56.7,45.2,230
259,260,R,59.9758,41.5 -53.5 44,FrontoParietal,41.5,-53.5,44.0,231
166,167,R,154.2867,47.9 -42.5 41.5,FrontoParietal,47.9,-42.5,41.5,232
169,170,R,259.3776,59.7 -41 -10.9,FrontoParietal,59.7,-41.0,-10.9,233
327,328,R,142.111,38.9 9.6 42.7,FrontoParietal,38.9,9.6,42.7,234
275,276,R,58.8152,38.6 18.8 25.5,FrontoParietal,38.6,18.8,25.5,235
326,327,R,384.2628,42.4 19.5 48.2,FrontoParietal,42.4,19.5,48.2,236
181,182,R,259.7731,7 25.7 47.3,FrontoParietal,7.0,25.7,47.3,237
271,272,R,168.7146,37.8 28.7 35.6,FrontoParietal,37.8,28.7,35.6,238
272,273,R,356.9694,41.8 29.1 21.6,FrontoParietal,41.8,29.1,21.6,239
167,168,R,156.6639,38.1 45.9 7.7,FrontoParietal,38.1,45.9,7.7,240
239,240,R,306.7999,42.8 48.3 -5.1,FrontoParietal,42.8,48.3,-5.1,241
319,320,R,96.1945,30.9 52.2 9.9,FrontoParietal,30.9,52.2,9.9,242
276,277,R,327.9747,28.4 57 -5.1,FrontoParietal,28.4,57.0,-5.1,243
318,319,R,254.779,23.5 59.1 4.9,FrontoParietal,23.5,59.1,4.9,244
177,178,R,94.8293,24.9 -35.9 -4.8,None,24.9,-35.9,-4.8,245
178,179,R,92.6377,19.4 -29.9 -9.7,None,19.4,-29.9,-9.7,246
301,302,R,71.2382,56.4 -27 -19.4,None,56.4,-27.0,-19.4,247
288,289,R,76.9437,62.3 -26.4 -16,None,62.3,-26.4,-16.0,248
305,306,R,106.2751,43.4 -24.1 -20.8,None,43.4,-24.1,-20.8,249
295,296,R,181.8441,20.1 -21.4 -21.5,None,20.1,-21.4,-21.5,250
313,314,R,65.8617,30.4 -18.8 -19.4,None,30.4,-18.8,-19.4,251
303,304,R,162.0045,39.5 -11.9 -29.7,None,39.5,-11.9,-29.7,252
311,312,R,218.2529,19.5 -10.8 -24.9,None,19.5,-10.8,-24.9,253
300,301,R,282.8087,54.5 -9.6 -37,None,54.5,-9.6,-37.0,254
304,305,R,72.6422,31.6 -9.4 -35.5,None,31.6,-9.4,-35.5,255
290,291,R,160.0829,54.7 -7.8 -26.9,None,54.7,-7.8,-26.9,256
296,297,R,96.6098,28 -0.4 -37.3,None,28.0,-0.4,-37.3,257
302,303,R,183.4216,31.1 2.2 -46.1,None,31.1,2.2,-46.1,258
299,300,R,162.123,36.8 7.7 -37.9,None,36.8,7.7,-37.9,259
281,282,R,75.7862,25.4 8.9 -15.7,None,25.4,8.9,-15.7,260
171,172,R,252.9815,32.5 13.6 -30.5,None,32.5,13.6,-30.5,261
291,292,R,799.9802,45.2 13.6 -30.1,None,45.2,13.6,-30.1,262
279,280,R,237.0121,2.9 18.7 -23.2,None,2.9,18.7,-23.2,263
285,286,R,93.8852,13.5 20.3 -15.2,None,13.5,20.3,-15.2,264
284,285,R,38.5266,11.9 25.7 -24.8,None,11.9,25.7,-24.8,265
282,283,R,296.9905,21.2 30.3 -15.2,None,21.2,30.3,-15.2,266
280,281,R,218.6388,35.1 37.3 -8.4,None,35.1,37.3,-8.4,267
287,288,R,108.7804,2.2 39 -25.6,None,2.2,39.0,-25.6,268
286,287,R,288.3102,10.9 39.1 -19.7,None,10.9,39.1,-19.7,269
283,284,R,288.0256,21.6 51.1 -14.1,None,21.6,51.1,-14.1,270
173,174,R,514.0554,13.8 -54.1 10.9,RetrosplenialTemporal,13.8,-54.1,10.9,271
312,313,R,109.9835,24.5 -36.2 -13.2,RetrosplenialTemporal,24.5,-36.2,-13.2,272
293,294,R,86.3581,34.6 -35.6 -12.3,RetrosplenialTemporal,34.6,-35.6,-12.3,273
294,295,R,196.8379,34.6 -23.9 -20.4,RetrosplenialTemporal,34.6,-23.9,-20.4,274
162,163,R,422.4615,20.8 -48.2 66.1,SMhand,20.8,-48.2,66.1,275
208,209,R,117.7734,29.5 -42.5 60.4,SMhand,29.5,-42.5,60.4,276
192,193,R,182.5813,11.9 -40.7 67,SMhand,11.9,-40.7,67.0,277
209,210,R,42.8535,34.2 -40.6 51.6,SMhand,34.2,-40.6,51.6,278
213,214,R,221.7426,28 -34.8 63.1,SMhand,28.0,-34.8,63.1,279
214,215,R,95.0339,39.2 -34.6 57.5,SMhand,39.2,-34.6,57.5,280
189,190,R,372.7294,16.5 -32.8 67.7,SMhand,16.5,-32.8,67.7,281
212,213,R,325.8075,39.6 -31.5 39.7,SMhand,39.6,-31.5,39.7,282
203,204,R,69.6388,12.4 -28.3 69.6,SMhand,12.4,-28.3,69.6,283
190,191,R,479.451,4.8 -27.1 64.8,SMhand,4.8,-27.1,64.8,284
216,217,R,208.7083,48.7 -26.1 52.2,SMhand,48.7,-26.1,52.2,285
215,216,R,550.1501,37.3 -25.9 50.9,SMhand,37.3,-25.9,50.9,286
201,202,R,140.6772,19.7 -25 65.2,SMhand,19.7,-25.0,65.2,287
269,270,R,163.128,53 -22.7 39.1,SMhand,53.0,-22.7,39.1,288
200,201,R,358.5175,38.1 -22.4 60.3,SMhand,38.1,-22.4,60.3,289
